,Title,Summary,Location,Company,Salary
39,Analytics Architect,Demonstrate an ability to help clients consolidate data to obtain a holistic view of that data.Dynamic Tag Management/ Google Tag Manager/ Tealium) as the…,Singapore,Attribute Data Pte. Ltd.,
40,Sr. ML Strategy Analyst,"Discuss complex industry-specific business concepts with executives, line managers and data scientists.Act as a business liaison between customers, services,…",Singapore,Amazon Web Services Singapore,
41,Machine Learning Engineer,"Work with backend engineers to architect data storage and processing pipelines.Master or PhD in computer science, mathematics, or fields related to big data…",Singapore,Axinan PTE LTD,
42,Mechatronics R&D Engineer,Serve as an architect for embedded software.Basic understanding of real-time data management tools like OSI PI System.Ability to Program in LabVIEW or Python.,Singapore,Flowserve Corporation,
43,Data Center Operations Manager,As the Data Centre Operations Manager you will lead a team tasked with providing 24/7 Cloud Data Center support for our Oracle Cloud Infrastructure.,Singapore,Oracle,
44,User Experience Engineer,Autodesk’s Vault UX team seeks a strong user experience engineer.Experience with manufacturing product data management solutions or product lifecycle…,Singapore,Autodesk,
45,"Release Engineer, Mobile Platform","A degree in computer science, software engineering, information technology or related fields.Architect, maintain, and streamline the Grab automated CI/CD…",Singapore,Grab Taxi,
46,Principal Software Engineer / Architect - Payments (Fintech),"Bachelor’s Degree in Computer Science or equivalent.Join our ambitious growing team in building large impact consumer products and services, building real-time…",Singapore,Traveloka,
47,Software Architect,"Familiar with latest technologies and trends e.g. Machine Learning, Cloud services, Data Lakes, Artificial Intelligence, chatbots, RPAs, data analytics etc.",Shenton Way,PCCW SOLUTIONS SINGAPORE PTE. LTD.,"$9,000 - $15,000 a month"
48,"Consulting Architect Singapore,","As a PSO Consulting Architect you will acquire an intimate understanding of our customers’ business, their strategic goals and the specific requirements of…",Singapore,VMware,
49,Digital Integration Senior Architect,"Enjoys client-facing roles with actual presales and delivery experience as an architect.Play lead architect role in complex large SI projects, working with…",Singapore,Accenture,
50,Data Scientist,"Degree in Statistics, Data Science, Mathematics, Computer Science, Engineering or any other related quantitative field.",Singapore,Ensign InfoSecurity,
51,Data Architect (Vietnam),"Immediate Hiring for data Architect for 12-24 months of Contract for Vietnam location.Review shall cover IT Systems (100+ applications), integration layer…",Singapore,Thakral One Solutions Private Limited,
52,Data Architect,"At least 5-7 years of experience in Data Modeling, Operation Data Stores, Enterprise Data Warehouses and Data Marts;",Singapore,Sciente International Pte Ltd,
53,Senior Data Scientist,NCS is looking for a data scientist to address challenging data science problems by discovering information hidden in vast amount of data by leveraging…,Singapore,NCS,
54,Senior Data Scientist,"Significant relevant experience in building and deploying data science solutions on large amounts of data.Data wrangling (SQL, R, Python, PostGRESql, Spark,…",Singapore,Singtel,
55,Data Manager/Architect,"Experience in master data management, data governance, data lifecycle management etc.Design, develop, document, manage and maintain data models, ETL processes,…",Singapore,Enggsol Pte Ltd,
56,IOT Architect - Digital Manufacturing,"Architect and design data management strategies for MES implementation and integration with PLC/DCS, ERP/business applications.",Singapore,Accenture,
57,Data Scientist,"Work with backend engineers to architect data storage and processing pipelines.Master or PhD in computer science, statistics, mathematics, or fields related to…",Singapore,Axinan PTE LTD,
58,Data Architect (Azure environment),"You will have experience in building unified data platform from scratch in Azure environment, catering to Data Acquisition, Data lakes, Data Transformation,…",Singapore,Michael Page,
59,Consumer Networks - Orchestration Architect (112118),To support that journey we are searching for top talent and have an exciting opportunity for a Senior Network Security Architect to strengthen our team.,Singapore,Singtel,
60,"Head of Connections Strategy, Strategy & Planning","Strategists work with client services, creatives, data scientists, user experience architects and technology professionals.",Singapore,Digitas,
61,Software Engineer - [ Internship ],"Assists with research and complies project related data as required by the product team.We are looking for a motivated, organized and efficient intern for the…",Singapore,Bosch Group,
62,Chief Data Architect,"Experience in building a unified data platform from the scratch, catering to Data Acquisition, Data Lakes, Data Transformation, Data Warehousing, Data…",Singapore,T+O+M,
63,Azendian - Information Management Role (Microstrategy Archit...,"Liasing with Clients, Data Architect, Data Engineers team to build models suitable for.Good knowledge of data warehousing concepts and designing data warehouse…",Singapore,TechSkills Accelerator,
64,ICT Consultant,"Knowledge of data networks, data centre operations, command and control center infrastructure, ELV systems, telephony, television, radio communications and…",Singapore,Arup,
65,"Principal Architect / Distinguished Engineer, Mobility & Cor...","Masters of Computer Science or equivalent.As Principal Architect / Distinguished Engineer, Mobility & Core Technologies, you will drive the architecture,…",Singapore,Grab Taxi,
